"","StoreNumber","dayOfTheYear","X3HourBucket","GrossSoldQuantity","Cash.Credit.Site","EBT.Site","Loyalty.Site","ExtraMile.Site","CoBrand","Alcohol","Carwash","Food.Service","City","State","dayOfTheWeek"
"2831",3000,1,1,4,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",1
"2832",3000,1,2,4,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",1
"2833",3000,1,3,3,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",1
"2834",3000,1,4,5,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",1
"2835",3000,2,1,35,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",2
"2836",3000,2,2,34,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",2
"2837",3000,2,3,39,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",2
"2838",3000,2,4,26,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",2
"2839",3000,3,1,25,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",3
"2840",3000,3,2,48,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",3
"2841",3000,3,3,30,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",3
"2842",3000,3,4,70,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",3
"2843",3000,4,1,30,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",4
"2844",3000,4,2,49,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",4
"2845",3000,4,3,29,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",4
"2846",3000,4,4,54,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",4
"2847",3000,5,1,6,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",5
"2848",3000,5,2,3,FALSE,TRUE,TRUE,TRUE,"No",TRUE,TRUE,TRUE,"COLLEGE STATION","TX",5
